,Codi_Districte,Seccio_Censal,Nom_Districte,Camp,Nom_Barri,Codi_AEB,Codi_Barri,Nombre,_id,Data
87,6,1,Gràcia,Vots vàlids,Vallcarca i els Penitents,114,28,484,88,2023-07-23T00:00:00
88,6,1,Gràcia,PSC-PSOE,Vallcarca i els Penitents,114,28,133,89,2023-07-23T00:00:00
89,6,1,Gràcia,SUMAR-ECP,Vallcarca i els Penitents,114,28,110,90,2023-07-23T00:00:00
90,6,1,Gràcia,PP,Vallcarca i els Penitents,114,28,61,91,2023-07-23T00:00:00
91,6,1,Gràcia,ERC,Vallcarca i els Penitents,114,28,61,92,2023-07-23T00:00:00
92,6,1,Gràcia,JUNTS,Vallcarca i els Penitents,114,28,43,93,2023-07-23T00:00:00
93,6,1,Gràcia,VOX,Vallcarca i els Penitents,114,28,42,94,2023-07-23T00:00:00
94,6,1,Gràcia,CUP-PR,Vallcarca i els Penitents,114,28,16,95,2023-07-23T00:00:00
95,6,1,Gràcia,PDeCAT-E-CiU,Vallcarca i els Penitents,114,28,11,96,2023-07-23T00:00:00
96,6,1,Gràcia,FO,Vallcarca i els Penitents,114,28,2,97,2023-07-23T00:00:00
97,6,1,Gràcia,PACMA,Vallcarca i els Penitents,114,28,2,98,2023-07-23T00:00:00
98,6,1,Gràcia,Vots blancs,Vallcarca i els Penitents,114,28,2,99,2023-07-23T00:00:00
99,6,1,Gràcia,RECORTES CERO,Vallcarca i els Penitents,114,28,1,100,2023-07-23T00:00:00
